"","id","female","ses","schtyp","prog","read","write","math","science","socst","honors","awards","cid"
"1",45,1,1,1,3,34,35,41,29,26,0,0,1
"2",108,0,2,1,1,34,33,41,36,36,0,0,1
"3",15,0,3,1,3,39,39,44,26,42,0,0,1
"4",67,0,1,1,3,37,37,42,33,32,0,0,1
"5",153,0,2,1,3,39,31,40,39,51,0,0,1
"6",51,1,3,1,1,42,36,42,31,39,0,0,1
"7",164,0,2,1,3,31,36,46,39,46,0,0,1
"8",133,0,2,1,3,50,31,40,34,31,0,0,1
"9",2,1,2,1,3,39,41,33,42,41,0,0,1
"10",53,0,2,1,3,34,37,46,39,31,0,0,1
"11",1,1,1,1,3,34,44,40,39,41,0,0,1
"12",128,0,3,1,2,39,33,38,47,41,0,0,2
"13",16,0,1,1,3,47,31,44,36,36,0,0,2
"14",106,1,2,1,3,36,44,37,42,41,0,0,2
"15",89,1,1,1,3,35,35,40,51,33,0,0,2
"16",134,0,1,1,1,44,44,39,34,46,0,0,2
"17",19,1,1,1,1,28,46,43,44,51,0,0,2
"18",145,1,2,1,3,42,46,38,36,46,0,0,2	
"19",11,0,2,1,2,34,46,45,39,36,0,0,2
"20",117,0,3,1,3,34,49,39,42,56,0,0,2
"21",109,1,2,1,1,42,39,42,42,41,0,0,2
"22",12,0,2,1,3,37,44,45,39,46,0,0,3
"23",37,1,1,1,3,41,47,40,39,51,0,0,3
"24",69,1,1,1,3,44,44,40,40,31,0,0,3
"25",43,1,1,1,2,47,37,43,42,46,0,0,3
"26",196,0,3,2,2,44,38,49,39,46,0,0,3
"27",36,1,1,1,1,44,49,44,35,51,0,0,3
"28",155,0,2,1,1,44,44,46,39,51,0,0,3
"29",6,1,1,1,2,47,41,46,40,41,0,0,3
"30",4,1,1,1,2,44,50,41,39,51,0,1,3
"31",25,1,2,1,1,47,44,42,42,36,0,0,4
"32",107,0,1,1,3,47,39,47,42,26,0,0,4
"33",5,0,1,1,2,47,40,43,45,31,0,0,4
"34",47,1,1,1,2,47,46,49,33,41,0,0,4
"35",140,0,2,1,3,44,41,40,50,26,0,0,4
"36",22,0,2,1,3,42,39,39,56,46,0,0,4
"37",18,0,2,1,3,50,33,49,44,36,0,0,4
"38",30,1,3,1,2,41,59,42,34,51,0,2,4
"39",40,0,1,1,1,42,41,43,50,41,0,0,4
"40",176,0,2,2,2,47,47,41,42,51,0,0,4
"41",126,0,2,1,1,42,31,57,47,51,0,0,4
"42",197,0,3,2,2,50,42,50,36,61,0,0,5
